rainfall_mm,rolling_rainfall_24h,rolling_rainfall_72h,soil_moisture_pct,slope_angle_deg,elevation_m,avg_neighbor_risk,landslide_occurred
29.86,88.84,247.18,51.73,44.74,1806.11,43.06,0
131.71,138.6,272.38,58.26,45.19,1582.02,32.3,1
67.49,117.98,191.48,54.15,32.13,1883.12,42.09,1
106.64,199.91,247.52,65.28,29.36,1584.19,35.56,1
123.58,144.98,205.16,42.35,24.09,1911.63,53.31,0
47.76,75.33,142.81,39.94,43.45,256.38,33.54,0
50.82,82.25,217.33,49.28,13.56,1039.33,25.14,0
55.77,127.59,227.12,41.42,7.64,1606.45,25.99,0
146.9,162.97,300.55,74.27,49.55,1287.43,43.46,1
35.16,92.21,125.05,44.14,5.18,491.57,15.35,0
162.26,194.17,338.28,48.05,50.91,813.96,56.19,1
79.01,201.48,372.67,69.98,39.26,769.66,49.07,1
82.69,116.1,165.83,32.14,20.44,659.63,34.08,0
120.25,123.6,249.26,37.14,37.8,819.11,34.14,1
73.28,138.06,301.4,58.64,43.44,1153.96,50.87,1
132.6,187.6,244.0,62.64,16.53,1816.99,39.86,1
47.71,95.02,134.44,45.67,41.23,1596.96,29.17,0
159.16,250.72,342.36,48.35,42.81,1778.74,48.99,1
50.39,58.47,80.35,31.67,16.72,1873.03,34.82,0
162.8,181.55,324.58,52.73,6.97,961.49,32.32,1
51.36,91.56,137.25,38.23,14.59,824.75,15.0,0
56.89,102.35,171.4,31.8,14.43,262.37,27.93,0
31.98,67.8,186.48,41.02,8.07,1964.46,14.28,0
39.09,48.71,158.65,56.3,39.12,278.35,22.85,1
67.71,95.51,212.2,34.3,22.86,1595.21,40.61,0
80.96,197.83,247.4,44.67,46.57,887.31,37.67,1
126.8,142.16,238.44,59.87,16.85,2000.12,47.61,1
59.73,99.25,229.09,47.94,26.3,968.22,29.05,1
28.76,85.96,141.26,51.06,35.03,1742.39,48.68,0
88.95,159.34,364.03,48.05,46.24,701.18,44.1,1
77.47,142.04,212.95,33.83,29.66,733.22,41.97,1
95.21,121.36,141.96,44.28,22.56,1311.26,28.18,0
43.42,62.1,132.79,46.55,45.75,2096.07,44.11,1
47.21,170.32,332.45,51.4,19.58,1159.27,44.43,1
43.44,118.63,162.47,41.24,8.73,1975.8,13.44,0
141.77,184.19,225.75,39.4,25.92,1683.19,22.01,1
160.07,262.32,363.1,64.6,41.9,1701.94,51.96,1
45.77,57.56,96.83,49.5,6.45,1000.12,12.91,0
46.44,49.93,88.11,27.4,32.54,903.76,22.36,0
103.62,148.7,196.1,56.44,32.94,524.25,36.69,0
170.75,217.43,403.26,62.06,48.64,2029.69,62.07,1
192.99,203.69,310.84,56.4,18.46,2020.82,27.11,1
44.29,117.62,200.77,36.35,18.11,1606.78,29.08,0
52.63,58.2,107.56,29.23,25.7,727.69,21.35,0
83.69,136.24,265.2,38.19,21.78,628.1,27.36,0
86.31,147.71,261.09,51.31,39.61,2077.79,49.65,1
61.33,106.0,299.25,56.13,35.16,279.76,37.33,1
38.12,47.33,90.81,27.67,40.67,1794.95,27.56,0
67.78,158.69,198.63,34.1,43.54,843.14,41.6,1
192.87,219.75,240.79,68.48,48.38,966.8,58.08,1
47.7,74.65,183.28,39.54,25.25,1772.36,30.44,0
80.42,103.13,195.68,37.15,51.28,326.68,49.67,1
269.46,335.59,398.73,60.88,15.14,840.63,36.61,0
47.21,73.05,93.78,44.76,38.58,2006.45,29.55,0
106.67,120.69,293.48,44.69,30.1,1513.18,39.68,1
197.77,277.03,366.78,62.8,43.39,1622.13,55.89,1
101.04,139.84,293.76,46.29,27.41,1627.14,36.11,1
135.77,216.93,379.09,49.61,41.85,268.11,64.26,1
115.61,156.63,263.46,50.63,48.72,546.25,46.0,0
96.08,117.48,233.38,52.18,39.42,1107.96,27.5,1
156.94,163.57,217.73,58.82,41.48,867.89,63.16,1
104.6,149.82,235.35,38.24,8.16,951.28,19.93,0
61.76,93.25,232.97,38.07,14.63,1673.82,36.76,0
76.48,144.52,192.01,42.7,50.79,178.62,56.11,1
88.19,113.04,247.24,51.41,37.58,1437.96,48.65,1
52.41,106.11,235.49,43.02,31.39,150.21,34.91,0
78.73,118.49,245.96,54.76,22.25,272.96,34.09,0
71.54,91.35,173.4,31.34,7.09,946.16,7.06,0
104.4,130.93,180.77,46.79,22.35,1789.85,42.89,0
229.3,240.82,444.87,56.18,28.45,432.74,43.62,1
81.76,210.51,377.42,61.51,14.94,1231.51,35.24,0
173.34,226.21,309.43,53.92,13.14,1473.09,31.88,0
102.09,112.85,205.49,66.61,28.9,597.59,31.89,1
78.5,202.95,271.09,51.59,32.54,1149.04,34.6,0
50.36,65.52,87.7,49.61,16.28,1927.24,27.5,0
78.88,103.38,179.37,36.87,32.61,1148.85,40.62,0
75.79,109.12,216.46,40.16,47.32,456.78,47.2,1
41.31,81.8,138.11,59.63,27.24,1374.24,23.51,1
46.2,112.99,178.98,48.14,45.3,1304.79,49.12,1
88.66,93.63,159.25,58.25,48.58,202.56,37.38,1
172.31,213.29,299.5,50.38,9.34,326.66,40.63,0
66.28,98.27,168.11,39.25,9.5,455.72,19.2,0
21.05,66.87,112.77,48.37,27.37,415.76,34.72,0
8.77,39.52,125.55,23.2,32.64,655.96,28.09,0
31.5,59.02,163.2,43.65,25.02,1035.51,27.82,0
108.34,144.76,235.48,46.53,20.34,874.85,39.67,0
24.82,144.78,165.59,30.13,35.13,1886.77,51.05,1
119.08,147.04,262.47,48.41,5.1,1343.61,35.23,0
104.69,192.84,230.02,41.97,50.5,1858.48,54.57,1
64.77,109.16,212.34,40.54,15.91,1177.73,30.18,0
41.58,84.45,190.23,53.74,48.1,325.25,39.07,1
58.58,104.73,132.9,36.48,10.12,1053.41,18.4,0
87.27,144.35,276.05,42.26,16.19,1752.96,23.11,0
25.51,55.27,258.15,56.73,16.04,528.5,31.99,0
162.0,246.1,313.31,52.29,51.82,327.87,58.11,1
86.76,143.94,247.13,49.72,5.22,792.4,5.98,0
93.15,105.72,166.0,46.24,35.06,908.35,33.8,1
104.23,107.62,144.44,58.49,45.88,747.2,41.68,1
152.67,270.22,409.03,43.53,36.6,413.72,51.97,1
79.01,126.24,230.92,49.56,22.05,639.14,33.41,0
108.38,119.46,171.41,48.75,50.04,1480.45,32.15,0
42.1,70.03,107.98,38.44,47.0,902.56,30.09,0
193.46,268.63,477.67,80.88,25.4,1383.47,59.34,1
75.54,110.3,141.82,61.99,31.95,1195.79,29.81,0
41.95,79.2,192.29,62.96,50.47,1220.65,47.42,1
50.37,116.19,205.11,38.53,51.18,634.67,41.72,0
12.98,63.57,187.54,29.43,26.14,1167.01,29.91,0
50.14,110.3,289.1,59.73,44.83,196.01,30.16,1
6.36,71.7,81.59,25.78,19.19,991.9,24.4,0
113.32,135.25,176.18,32.78,22.48,1266.61,41.16,0
91.37,115.12,189.68,52.26,12.75,504.89,13.35,1
33.03,52.72,239.42,37.67,14.83,650.29,19.33,0
67.11,91.99,153.95,34.79,35.87,578.09,36.6,1
69.16,105.31,160.01,56.31,29.01,287.59,41.2,0
27.83,66.05,80.93,24.91,15.86,828.32,15.57,0
59.44,159.62,210.95,28.18,23.94,2058.98,20.35,0
70.61,119.44,230.31,40.28,22.54,840.07,29.13,0
58.33,95.03,169.88,42.73,51.41,1048.05,35.35,1
41.92,57.95,108.46,26.18,45.12,1423.52,29.85,1
32.05,63.31,273.8,53.0,23.23,1414.57,32.04,0
56.92,180.34,247.34,50.64,47.95,2002.3,39.89,1
45.76,167.9,254.1,65.39,21.1,1822.25,25.5,0
99.95,130.91,179.39,43.12,36.39,1698.2,35.89,1
158.34,166.0,202.63,56.65,50.43,2005.67,47.18,1
122.64,150.36,269.74,39.72,23.34,599.99,22.84,0
72.18,173.09,197.35,50.52,36.95,1353.26,40.14,1
43.11,79.45,184.92,45.94,18.91,1880.03,22.16,0
120.62,186.49,193.51,33.74,17.52,1367.07,30.79,0
103.76,143.41,240.37,59.53,31.99,2055.97,43.46,1
151.74,161.93,201.14,45.44,51.03,345.69,41.34,1
79.06,119.79,164.78,30.89,26.3,1006.69,33.05,0
187.46,259.48,326.81,51.51,49.07,2055.86,47.26,1
79.08,103.67,138.29,49.48,47.98,890.16,49.75,1
42.95,113.68,133.28,32.8,16.93,1592.13,13.76,0
48.95,91.64,163.2,30.06,23.89,209.29,29.39,0
96.99,165.13,287.98,36.05,35.24,1504.93,41.24,1
45.67,96.79,188.39,42.6,29.35,1972.52,23.6,0
186.69,203.73,351.95,51.6,9.51,896.28,39.31,0
91.98,123.5,145.1,38.09,51.7,191.53,36.99,0
71.14,101.85,164.09,28.0,40.37,204.42,22.93,0
75.14,98.75,180.44,31.24,25.57,1889.45,5.82,0
57.9,106.13,151.14,50.48,34.05,1558.91,24.77,0
16.7,154.71,238.54,49.12,9.12,358.04,34.37,0
48.97,133.15,276.81,66.98,28.28,256.45,47.79,1
173.04,264.89,372.12,43.62,48.75,1719.41,51.41,1
80.45,102.85,258.13,59.18,47.14,1729.23,44.65,1
131.27,224.14,318.83,52.83,20.86,385.02,32.71,0
133.56,247.34,322.44,67.95,29.97,737.96,31.5,1
67.54,89.3,269.2,39.18,37.78,1671.05,35.27,1
104.82,160.1,245.95,51.05,20.98,1174.55,38.88,0
18.43,74.76,276.57,39.53,8.05,2015.34,29.6,0
164.73,198.09,331.46,47.62,28.76,1088.07,44.3,1
156.77,202.21,253.99,69.77,33.28,1470.07,28.33,1
95.3,153.61,224.18,57.81,5.27,1144.08,20.78,0
82.35,117.49,296.52,65.77,9.49,1988.78,9.5,1
68.14,149.62,297.87,54.93,14.74,927.39,37.93,0
140.54,153.18,274.97,54.13,21.36,598.1,35.51,1
112.4,143.01,257.32,42.5,30.43,786.94,26.79,0
53.62,120.41,152.74,53.72,18.81,1812.91,35.67,0
28.84,157.47,195.28,46.45,17.98,1120.98,11.06,0
24.48,109.46,201.46,47.63,45.86,840.79,46.87,0
139.64,184.39,230.02,46.81,11.82,1211.31,28.78,0
67.15,103.61,171.28,45.66,28.29,409.8,19.9,0
94.32,126.32,191.03,59.23,49.78,160.45,43.89,1
73.02,105.17,216.21,39.58,34.38,697.14,23.75,1
24.76,31.34,125.45,34.62,38.71,1329.76,9.86,0
18.82,144.03,285.87,32.2,25.27,1537.78,28.06,0
51.06,89.66,184.82,47.07,5.94,1761.89,12.49,0
54.17,74.77,165.72,28.06,35.37,1956.99,38.8,1
54.15,108.81,188.78,38.88,34.7,953.62,35.52,0
55.26,77.31,231.41,37.38,10.19,1594.01,24.22,0
220.37,296.65,377.14,62.61,26.72,295.61,36.2,1
130.07,151.23,202.02,43.24,48.02,262.18,39.72,0
81.2,150.11,267.59,34.33,14.64,393.36,21.41,0
66.02,97.65,172.28,58.03,26.67,1024.71,19.12,0
67.59,117.19,249.64,67.69,26.67,562.0,29.98,1
109.88,182.44,345.79,51.53,43.11,709.5,52.39,1
65.6,91.69,162.35,46.69,43.76,1413.37,33.85,1
122.07,193.42,353.52,70.7,40.69,849.12,48.34,1
86.97,93.9,228.29,40.43,22.18,1236.87,35.99,1
221.56,329.59,386.23,54.19,8.39,954.19,29.99,0
62.96,142.86,189.06,49.9,21.43,479.49,16.36,0
135.73,173.31,217.02,45.08,36.95,294.34,42.95,1
30.98,120.7,157.89,41.58,38.03,610.65,36.79,0
43.91,127.43,278.88,55.05,50.36,262.52,53.76,1
204.21,244.46,315.74,63.65,26.32,1356.29,44.48,1
118.92,158.84,353.1,62.62,34.72,1701.65,50.97,1
95.4,113.82,166.16,40.32,30.34,812.49,30.9,0
255.33,297.24,356.01,71.81,12.08,904.87,53.08,1
66.65,76.5,184.52,34.4,26.68,1741.57,19.56,0
135.53,203.85,392.51,66.24,30.61,584.1,43.11,1
141.62,210.96,268.1,55.61,49.69,382.36,57.66,1
178.24,185.3,311.18,60.97,22.23,1127.18,37.82,1
28.14,129.39,209.69,36.72,51.06,1410.07,52.43,0
66.36,90.57,199.32,53.14,30.49,1319.33,34.6,0
86.0,301.45,349.4,68.89,16.4,1542.05,47.04,0
176.5,224.24,342.77,62.09,14.01,260.66,26.05,1
92.97,194.87,262.7,40.44,11.66,984.99,37.44,0
141.81,159.7,220.19,57.6,26.29,615.21,41.66,0
26.09,57.67,136.07,30.44,6.03,1630.29,5.0,0
56.24,82.22,194.81,60.13,25.92,1851.82,35.21,0
156.42,166.07,238.65,59.4,51.46,698.6,48.43,1
61.5,74.17,135.04,37.54,36.5,335.68,27.17,1
70.07,106.54,180.58,28.92,40.71,644.18,22.86,1
174.82,228.14,301.09,55.19,10.59,352.82,20.85,1
36.6,52.79,160.18,49.1,27.24,778.72,34.02,0
43.38,73.43,136.76,23.32,18.45,1199.49,27.84,0
23.82,45.77,108.12,41.02,47.02,2048.68,34.64,0
179.0,217.37,265.59,66.71,13.52,928.77,34.57,0
128.6,193.34,304.7,46.57,26.56,579.08,46.35,1
126.62,170.2,257.12,43.38,32.64,475.26,40.1,0
55.13,80.19,233.77,49.52,29.16,487.43,29.25,1
22.32,103.97,246.66,49.83,44.02,525.57,48.44,1
17.12,69.2,161.18,35.38,15.88,1636.42,25.51,0
157.11,201.65,277.15,40.06,22.74,269.0,39.82,0
99.43,115.81,196.26,57.86,42.23,2094.94,46.98,1
111.58,187.46,242.02,62.11,29.82,1169.24,25.15,1
83.44,139.32,187.87,32.95,23.9,1211.33,24.35,1
39.54,97.5,141.68,21.61,6.38,847.25,5.0,0
56.94,90.71,162.47,36.91,40.41,1496.0,42.41,0
32.41,61.59,72.78,48.61,50.69,1069.34,34.18,0
29.26,154.89,339.48,51.8,34.15,791.67,49.4,1
122.21,151.02,365.58,66.23,45.26,667.02,42.77,1
18.55,32.02,73.06,23.86,29.29,1955.02,34.26,0
32.59,78.8,291.48,67.03,15.89,717.43,21.84,0
59.28,99.28,140.7,43.2,5.68,1000.97,20.16,0
74.42,158.58,239.3,43.78,35.71,833.17,40.32,0
23.57,59.39,159.83,38.02,28.18,318.05,27.38,0
92.22,155.52,240.47,60.49,41.76,512.57,40.93,1
80.42,186.3,243.34,34.86,37.65,519.53,35.74,1
155.48,209.05,264.37,38.64,51.43,1502.62,61.05,0
75.25,92.39,219.06,39.16,28.98,942.84,33.92,1
98.2,152.86,308.96,53.85,25.08,1674.84,28.06,0
41.25,71.71,94.64,49.44,18.48,1532.45,15.11,0
42.56,91.1,184.1,43.83,27.41,524.5,31.28,0
25.7,65.92,179.01,50.84,46.02,1247.69,48.22,0
41.55,54.74,144.01,33.11,6.99,1598.67,10.16,0
56.35,92.01,123.35,48.93,50.96,1384.43,35.53,0
146.28,162.54,270.59,61.46,51.69,1320.03,51.49,1
36.96,64.03,208.4,51.57,33.1,1592.24,42.48,1
227.41,303.12,350.85,64.53,20.58,260.72,27.71,1
103.68,146.3,202.94,62.35,15.48,1576.27,28.55,0
90.71,151.37,241.58,64.78,18.0,681.68,25.2,1
71.42,116.64,193.4,48.29,7.35,1265.15,16.32,0
62.64,94.84,151.67,34.33,27.33,622.49,43.79,0
46.25,94.89,131.4,43.48,7.69,1785.69,12.9,0
22.76,30.92,90.81,39.73,38.77,1087.09,36.11,0
37.95,106.43,122.98,31.33,22.48,1403.74,28.46,0
178.74,198.83,313.05,46.08,14.37,1698.46,22.66,1
99.74,157.76,209.1,46.34,30.61,1895.86,19.28,1
177.8,209.0,333.69,59.07,50.77,1577.52,62.05,1
45.39,58.59,128.49,37.16,37.67,440.1,23.57,0
31.68,54.93,142.04,31.7,28.11,1816.34,14.21,0
70.95,129.19,155.32,56.66,41.51,1356.23,44.77,0
39.02,191.72,310.78,57.09,39.66,1338.43,38.95,1
80.94,119.25,403.06,40.74,46.91,1946.61,52.2,0
18.84,159.88,223.46,38.69,14.62,635.22,41.33,0
11.44,19.58,105.74,52.05,45.37,617.2,21.87,0
88.49,121.62,214.25,57.25,19.15,1150.73,17.51,0
181.72,220.06,253.32,48.15,49.23,1614.18,44.86,1
91.0,151.4,191.24,54.45,18.21,1022.12,23.35,1
99.1,123.12,232.49,33.35,48.56,1386.09,39.42,1
72.98,124.92,172.66,55.69,50.3,1032.42,33.86,0
77.62,112.06,181.6,38.16,11.84,1340.26,32.8,0
21.79,114.17,201.4,35.61,50.8,1753.41,47.69,1
40.14,86.38,198.0,39.36,9.03,501.93,24.95,0
145.38,349.33,421.21,54.22,15.27,1505.99,39.66,1
55.47,90.13,163.16,43.31,25.88,1685.48,30.08,0
143.61,231.99,491.07,79.88,51.7,1021.87,75.31,1
76.23,183.91,320.05,57.76,27.96,780.31,32.81,1
78.78,80.91,145.59,45.33,30.87,176.41,31.56,0
55.77,123.65,197.2,41.92,37.64,1704.35,42.94,1
108.32,142.0,347.61,42.88,50.51,789.48,68.74,1
124.86,139.91,251.77,31.11,41.82,846.75,59.56,1
38.51,131.97,278.11,56.09,15.54,805.21,30.74,0
23.63,48.85,112.51,24.29,19.24,1122.54,29.09,0
13.82,21.44,80.55,43.32,9.59,1519.87,5.0,0
96.12,143.19,321.35,51.77,35.29,1655.13,57.69,1
89.29,192.2,269.14,40.33,13.49,915.51,22.48,0
265.53,280.77,356.98,62.93,17.1,1443.05,35.1,1
73.26,147.42,208.49,36.26,46.74,1555.33,47.21,1
64.78,70.25,213.14,41.58,20.36,728.99,26.97,0
82.71,190.54,280.41,53.92,31.63,338.41,41.58,1
85.62,139.95,178.13,54.57,23.69,1894.6,40.27,0
61.41,75.16,132.0,24.89,8.48,1470.38,11.91,0
39.48,109.02,268.95,55.94,22.05,1413.82,24.71,1
70.67,97.1,188.23,28.31,24.18,264.86,43.13,0
68.9,87.35,231.05,46.56,47.1,1744.85,49.8,1
68.16,94.11,195.21,44.89,20.25,1253.81,42.17,0
115.43,180.14,221.9,48.13,22.82,1803.37,37.25,0
69.82,87.21,194.71,60.75,41.8,2050.39,29.09,1
24.08,27.3,105.35,45.47,40.67,2016.35,37.47,0
44.4,71.49,129.33,25.37,42.52,1819.37,27.34,0
60.89,156.95,217.99,36.32,49.83,171.35,46.31,1
72.04,167.23,308.88,69.52,42.39,1877.17,48.0,1
97.4,123.32,216.26,36.96,24.16,296.37,17.77,0
72.41,97.57,186.68,41.14,43.61,1809.83,33.67,1
11.7,35.56,223.75,51.47,28.91,696.34,51.77,1
26.54,49.5,101.35,41.7,18.05,1339.63,20.34,0
101.6,125.94,201.75,53.4,19.24,224.23,25.27,0
59.76,108.52,163.21,52.62,15.52,1653.8,36.06,0
76.57,174.2,280.49,59.9,11.81,367.83,24.96,0
54.64,72.0,162.06,51.35,13.67,950.84,19.63,0
44.27,64.73,129.19,43.22,7.97,1744.02,22.4,0
56.04,108.96,178.4,46.62,46.76,1505.93,38.23,0
77.18,144.52,278.29,53.59,48.76,161.78,44.15,1
69.48,79.32,232.65,54.31,32.58,935.91,18.97,0
124.37,246.66,303.33,59.06,44.5,231.76,41.96,1
20.27,51.61,342.28,46.8,13.63,1463.32,26.28,0
22.82,33.68,66.29,33.18,47.38,2039.45,34.67,0
59.28,68.62,109.27,41.27,28.8,1427.76,20.59,0
98.09,106.84,174.42,48.47,8.16,587.53,35.24,0
111.59,198.82,248.88,39.04,11.64,842.7,17.19,1
45.57,88.46,134.66,44.4,19.52,2054.47,33.02,0
4.89,92.66,243.9,56.55,7.05,586.9,24.28,0
46.66,83.61,192.12,53.12,19.54,1244.98,32.59,0
89.47,175.58,260.21,63.04,7.82,930.88,30.17,0
68.61,104.85,162.89,32.58,16.09,1648.21,5.0,0
100.36,160.57,202.37,62.1,17.49,1841.41,25.58,1
142.35,181.28,221.8,47.51,51.74,814.63,45.58,1
62.13,96.67,247.48,62.84,16.07,1437.77,19.14,0
50.48,69.45,216.82,40.62,16.24,1220.64,29.68,0
35.45,101.63,170.18,30.43,37.28,692.97,48.86,0
22.71,38.02,68.75,34.58,45.39,680.28,11.01,0
17.72,83.82,197.72,38.78,23.19,1200.33,24.47,0
42.35,86.72,155.43,37.72,46.15,450.31,29.38,0
130.76,198.11,335.11,64.58,20.99,1731.08,38.3,1
106.42,153.7,193.78,54.07,14.26,284.56,20.48,1
48.8,141.38,225.62,49.63,20.49,334.42,24.37,0
228.67,284.76,322.42,56.42,33.64,817.34,49.88,1
44.54,89.61,140.56,48.63,22.26,380.28,36.98,0
150.5,153.22,203.38,56.14,36.63,1077.62,58.52,1
171.96,267.1,335.0,61.87,16.14,929.37,28.89,1
93.33,101.97,259.96,51.57,37.95,1557.53,27.7,1
42.06,53.98,140.8,48.42,21.33,2008.36,27.83,0
53.51,125.36,249.83,50.09,26.43,1619.44,47.48,0
78.4,120.1,203.82,36.39,31.21,499.92,40.52,1
23.27,32.32,94.63,43.27,37.25,1974.27,42.3,1
32.9,58.02,76.69,40.03,16.22,914.66,13.68,0
30.79,122.55,164.07,41.1,44.29,1074.67,34.0,0
97.81,144.04,224.05,57.97,38.93,972.07,41.08,1
141.52,184.01,272.4,64.27,16.0,697.07,27.39,0
109.01,131.57,268.84,52.86,50.82,1895.34,55.96,1
127.63,201.27,226.59,46.04,36.25,797.87,46.5,1
39.45,77.26,312.28,62.74,26.26,1278.26,47.56,0
55.22,119.52,138.01,42.78,12.4,618.07,21.88,0
58.18,78.74,155.73,29.68,30.06,1704.88,31.68,1
93.1,246.34,301.81,64.35,12.74,1659.69,36.64,0
43.22,146.48,188.49,53.42,25.19,727.81,13.54,0
122.86,168.73,350.44,64.69,24.21,1479.03,42.49,1
169.12,222.68,279.56,43.0,38.84,1522.55,44.69,1
96.11,121.44,145.36,35.66,14.04,1246.9,21.03,0
53.52,121.48,155.54,54.26,43.63,1321.17,37.14,0
36.84,40.49,187.2,27.64,20.33,1270.19,29.69,0
30.85,151.89,187.12,49.63,25.87,309.64,24.96,0
11.83,77.02,106.32,43.1,41.3,1457.02,41.79,0
59.43,76.46,165.82,50.6,34.39,1066.06,36.86,0
57.09,176.18,243.78,33.04,19.48,1004.99,31.18,0
118.27,262.92,366.96,64.11,23.15,1827.0,35.83,1
45.34,101.01,163.49,50.89,19.37,195.29,30.41,0
61.76,82.63,202.86,34.6,32.95,640.06,36.64,0
83.51,126.52,158.29,42.1,20.63,386.74,18.21,0
95.13,156.67,184.29,44.47,39.11,218.92,36.83,1
110.03,162.39,256.58,40.29,32.25,687.57,43.63,0
78.21,95.25,162.92,52.6,11.85,2077.53,23.74,0
24.43,85.19,145.57,48.1,19.58,676.95,26.56,0
89.92,180.95,294.81,68.82,15.41,1444.23,32.1,1
42.96,56.39,310.24,59.86,23.34,380.68,45.48,0
145.54,160.61,188.73,55.61,29.25,1323.6,41.61,1
70.34,94.78,256.01,41.79,28.82,2069.74,42.39,1
81.3,116.43,233.09,51.79,40.46,719.08,37.06,1
278.26,353.21,411.94,65.99,13.89,1803.75,30.77,1
111.22,201.57,390.88,75.1,49.48,2095.26,54.66,1
88.88,108.95,143.15,56.31,21.11,1297.68,39.03,0
63.01,111.46,213.39,62.03,19.11,753.33,29.73,0
26.18,114.07,185.28,53.04,37.2,1463.39,53.23,0
59.95,218.89,277.63,63.37,42.86,1797.45,45.58,1
36.49,84.75,122.39,29.7,22.79,484.13,20.78,0
181.48,231.73,542.41,88.54,40.1,1032.41,64.15,1
89.63,145.56,203.99,53.77,46.54,772.42,42.48,1
142.35,174.58,187.7,44.5,41.04,702.55,32.51,1
44.39,89.94,217.62,26.97,6.61,1828.6,11.1,0
38.54,43.52,140.34,46.38,43.89,972.23,40.87,0
104.57,130.02,197.1,42.67,41.4,811.2,48.06,1
35.37,95.45,158.62,43.3,36.46,1326.85,53.33,1
50.7,69.72,145.81,52.15,40.72,577.83,31.9,0
186.64,262.8,391.1,74.42,51.03,598.29,57.13,1
52.16,59.57,157.19,60.23,25.26,1164.56,20.78,0
21.69,95.83,202.91,35.09,8.16,948.08,29.12,0
15.07,89.07,196.13,41.21,26.66,725.22,37.23,0
19.44,180.24,311.86,39.32,7.18,255.2,20.68,0
147.43,178.63,332.14,45.62,18.83,1165.51,28.99,1
46.45,88.18,139.83,28.25,32.58,1742.39,37.66,0
273.12,386.42,475.72,79.74,19.55,1810.19,50.48,1
170.29,274.08,423.54,65.34,37.21,609.11,60.16,1
213.25,297.27,348.66,49.9,43.63,1319.3,45.27,1
129.62,183.3,351.99,57.61,24.76,1818.97,26.23,1
101.16,212.42,263.51,46.19,47.31,947.02,41.15,1
37.49,235.83,335.56,57.2,8.75,1967.67,35.92,0
69.17,133.28,201.09,31.99,44.49,1910.81,58.66,1
107.58,150.86,211.95,65.5,43.94,555.86,38.83,1
124.77,194.37,298.38,45.53,20.13,654.98,52.67,1
28.26,76.01,230.24,25.76,19.04,501.86,35.33,0
60.61,94.07,160.88,25.08,19.34,532.31,12.53,0
65.51,141.9,303.97,49.04,43.14,1920.33,50.39,1
63.76,91.34,141.21,32.6,44.09,1965.72,43.96,1
31.42,94.59,250.09,39.14,20.5,251.2,11.65,0
198.47,207.95,293.24,50.96,32.85,1307.53,46.86,1
59.2,183.83,280.03,56.24,11.53,1250.25,37.3,0
33.25,54.66,91.52,19.41,27.03,911.57,26.27,0
201.38,213.08,272.58,50.79,51.94,1381.81,51.12,1
170.39,271.8,350.43,59.41,12.47,1997.37,32.38,1
76.18,190.48,335.13,38.2,49.54,482.0,53.01,1
49.62,102.5,172.72,42.29,43.74,384.8,29.79,1
18.08,56.75,104.03,27.7,50.69,215.11,32.72,0
96.45,128.26,219.87,22.54,13.44,859.47,21.22,0
47.15,97.94,317.84,57.82,15.04,808.38,33.77,0
68.05,108.42,205.99,39.64,5.79,990.1,14.47,0
190.8,227.43,297.15,47.48,39.06,1131.45,38.77,1
44.66,64.06,156.13,37.74,35.27,1627.76,38.95,0
93.84,108.43,153.57,49.18,13.37,914.62,22.5,0
112.04,156.59,331.1,64.36,42.18,794.7,45.83,1
144.67,194.32,367.14,68.28,19.06,1762.41,43.02,1
64.72,87.24,131.2,52.26,11.34,1807.1,13.02,0
60.18,85.6,256.01,67.11,24.86,603.89,34.62,0
59.2,108.76,201.39,56.07,9.28,763.61,28.47,1
88.12,107.05,225.05,58.78,17.37,1758.98,22.47,0
166.09,252.33,331.96,54.44,22.45,304.85,28.99,1
57.33,118.73,201.99,32.77,45.04,785.4,41.01,1
6.36,28.7,82.73,40.29,42.25,1024.28,20.65,1
119.87,179.05,223.46,65.61,25.81,514.79,30.03,1
72.54,91.9,134.76,44.62,39.06,500.83,31.29,0
96.59,170.83,317.92,54.85,31.73,978.48,23.17,1
18.7,38.78,127.81,38.68,21.02,1621.32,26.44,0
47.28,85.36,131.11,44.62,39.12,1788.45,31.84,0
113.88,160.5,245.26,46.56,37.12,2059.51,50.12,1
25.45,138.59,163.53,45.17,34.1,294.27,34.45,0
93.71,114.97,160.13,42.0,34.04,572.53,38.32,0
67.67,88.15,243.39,59.4,37.1,1625.43,50.03,1
40.17,50.31,108.01,46.46,23.07,1204.17,20.89,0
37.74,173.5,318.09,59.76,45.85,788.98,51.36,1
31.65,74.45,150.19,32.66,12.63,550.9,6.25,0
72.28,159.95,278.4,56.25,46.54,696.93,58.72,1
77.98,103.8,141.79,36.37,21.09,987.11,22.12,0
53.44,81.35,189.7,39.44,10.88,495.44,12.71,0
30.1,70.3,85.48,50.57,33.2,2030.24,32.25,0
92.0,133.13,194.21,41.83,22.67,359.8,10.73,0
121.22,189.06,348.97,46.1,43.33,2071.88,48.74,1
102.78,146.53,228.12,49.53,25.25,1791.69,39.52,0
218.42,249.2,292.91,60.45,36.42,975.15,40.32,1
61.07,198.5,350.96,48.7,19.49,1592.64,32.27,0
156.35,175.51,410.39,75.94,14.84,1459.45,36.36,1
43.14,64.51,133.09,44.65,23.24,565.91,7.85,0
38.09,57.5,83.79,48.35,33.52,811.19,32.12,0
75.27,144.97,227.26,63.2,35.88,1150.59,37.59,1
177.47,235.35,357.94,52.04,32.18,1393.8,43.97,1
